 h  k      q   F_exp F_model
 1 -1  0.111   86.34  -73.68
 1  0  0.109  100.00  -94.56
 1  1  0.122   43.11   23.93
 1  3  0.182    8.79    0.30
 2 -2  0.224   17.97  -17.26
 2 -1  0.217   76.04  -61.96
 2  0  0.218   28.75  -32.21
 2  1  0.228   39.50   32.00
 2  2  0.246   24.65  -25.05
 2  3  0.270   14.63   14.95
 2  4  0.298    9.22   -6.05
 2  5  0.329    5.63    1.07
 2  6  0.363    4.11    0.10
 3 -2  0.326   33.20   34.15
 3 -1  0.324   45.88   39.33
 3  0  0.326   13.17   -3.03
 3  1  0.335    0.00   -9.63
 3  2  0.350   10.18   14.29
 3  3  0.368   13.58  -13.07
 3  4  0.392   12.98    8.68
 3  5  0.418    9.55   -4.06
 3  6  0.446    5.56    1.04
 4 -3  0.437   23.02  -18.23
 4 -2  0.432   42.81  -48.44
 4 -1  0.431   22.59  -17.86
 4  0  0.435   16.21   11.37
 4  1  0.443    7.20   -2.71
 4  2  0.456    9.87   -4.23
 4  3  0.000    0.00    7.33
 4  4  0.493    3.02   -6.76
 4  5  0.514    4.14    4.28
 4  6  0.539    2.52   -1.82
 5 -3  0.541   15.60  -18.17
 5 -2  0.539   16.31  -20.97
 5 -1  0.540    7.49    1.78
 5  0  0.544    6.54    4.79
 5  1  0.551    6.37   -6.07
 6 -4  0.652    5.91   -1.88
 6 -3  0.648    5.94   -4.33
 6 -2  0.646    3.84   -1.38
 6 -1  0.648    3.45    0.79
 6  0  0.653    3.43   -0.18
 6  1  0.660    3.87   -0.23
 6  2  0.671    0.00    0.34
 6  3  0.684    3.49   -0.20
 6  4  0.700    3.38   -0.13
 7 -4  0.757    9.97  -12.78
 7 -3  0.754    8.13  -12.75
 7 -2  0.754    4.24    1.04
 7 -1  0.756    3.58    2.19
 7  0  0.760    2.82   -2.43
 9 -5  0.975    6.10   -5.57
 9 -4  0.973    5.60   -5.43
 9 -3  0.972    0.00    0.48
 9 -2  0.973    3.02    0.91
 9 -1  0.976    0.00   -1.03
 9  0  0.981    2.19    0.42
