 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.043  0.102  0.111     6667    53061  4604        13
 1  0  0.000  0.109  0.109  1356378    71178   692       438
 1  1  0.043  0.115  0.122      581    13230  1625        41
 1  3  0.130  0.127  0.182        7      549    29       245
 2 -2 -0.087  0.205  0.224      530     2300   164        13
 2 -1 -0.043  0.211  0.217     9354    41161   453      1306
 2  0  0.000  0.217  0.218    86580     5882   100       182
 2  1  0.043  0.224  0.228     2603    11103   202       517
 2  2  0.087  0.230  0.246      856     4324   116         2
 2  3  0.130  0.236  0.270      226     1524    11        55
 2  4  0.173  0.242  0.298       21      605    30       194
 2  5  0.217  0.249  0.329        4      226    61         9
 2  6  0.260  0.255  0.363       16      120    20        20
 3 -2 -0.087  0.314  0.326     2213     7846   386         0
 3 -1 -0.043  0.320  0.324     6203    14986   274       228
 3  0  0.000  0.326  0.326     1053     1234    87       162
 3  1  0.043  0.332  0.335      203        0  10000         0
 3  2  0.087  0.339  0.350      330      738    36        95
 3  3  0.130  0.345  0.368      272     1312    30         0
 3  4  0.173  0.351  0.392      153     1199    30        55
 3  5  0.217  0.357  0.418       56      649    16       176
 3  6  0.260  0.364  0.446       10      220    31        17
 4 -3 -0.130  0.416  0.437      628     3771   212        34
 4 -2 -0.087  0.422  0.432     5478    13042   328        20
 4 -1 -0.043  0.429  0.431     2156     3632   287         8
 4  0  0.000  0.435  0.435     8758     1870    22       329
 4  1  0.043  0.441  0.443      342      369    59         1
 4  2  0.087  0.447  0.456        7      693    38       313
 4  3  0.130  0.454  0.000       20        0  10000         0
 4  4  0.173  0.460  0.493       48       65    12       186
 4  5  0.217  0.466  0.514       44      122    11       156
 4  6  0.260  0.472  0.539       24       45    50         6
 5 -3 -0.130  0.525  0.541      705     1731   137        15
 5 -2 -0.087  0.531  0.539     1547     1894    52       686
 5 -1 -0.043  0.537  0.540       25      399    21       303
 5  0  0.000  0.544  0.544      777      304     5       908
 5  1  0.043  0.550  0.551      480      289    16       152
 6 -4 -0.173  0.627  0.652        7      248    17       167
 6 -3 -0.130  0.633  0.648       44      251    14        87
 6 -2 -0.087  0.640  0.646       11      105    19        21
 6 -1 -0.043  0.646  0.648       10       85    16        24
 6  0  0.000  0.652  0.653        8       84     6       158
 6  1  0.043  0.658  0.660        0      106     8       186
 6  2  0.087  0.665  0.671        0        0  10000         0
 6  3  0.130  0.671  0.684        1       86     4       369
 6  4  0.173  0.677  0.700        1       81     6       182
 7 -4 -0.173  0.736  0.757      336      707    20       263
 7 -3 -0.130  0.742  0.754      532      470    24       977
 7 -2 -0.087  0.748  0.754        4      128    62         4
 7 -1 -0.043  0.755  0.756       62       91    10        23
 7  0  0.000  0.761  0.760      359       56     3       300
 9 -5 -0.217  0.947  0.975       64      265    50         2
 9 -4 -0.173  0.953  0.973       96      224    40         0
 9 -3 -0.130  0.960  0.972        0        0  10000         0
 9 -2 -0.087  0.966  0.973        8       65    19         9
 9 -1 -0.043  0.972  0.976       36        0  10000         0
 9  0  0.000  0.978  0.981       52       34    20         1

Total chi^2 =  9657
